,c1,c2,r1,r2,w1
1,0.2026946395406583,0.39434381133532864,0.36369340819626483,1.4605100564419096,0.2619962733630524
3,0.33325181309860313,0.14195924251643038,0.28967710980948985,1.4076661417149785,0.2084832669681551
5,0.23733161907850453,0.5860837056838268,0.05433776364777121,1.3046950281764496,0.23265303653181374
8,0.23799939254911218,0.5860837056838268,0.05433776364777121,1.7922600068858485,0.27139505591753044
