,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,6,5,1,9,5,3,6,1,0,9,1,5,6,5,3
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,1,7,2,0,0,1,5,5,3,1,1,0,4,0
2,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,2,7,4,7,7,1,1,6,9,6,10,2,1,10,0,6
3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,0,0,6,0,3,6,5,6,6,6,7,6,0,5
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,2,6,6,3,0,6,6,6,6,5,0,9,4,9
5,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,2,7,8,2,0,6,3,5,10,9,5,7,0,6
6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,4,0,7,6,1,6,9,2,6,10,5,4,7,3,1
