,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
77,0.0,2201011096.019763,0.0
78,3476447.607406354,2201011245.4616184,0.0005172949930492751
79,0.0,2201011096.019763,0.0
80,0.0,2201011096.019763,0.0
81,0.0,2201011096.019763,0.0
82,0.0,2201011096.019763,0.0
83,0.0,2201011096.019763,0.0
84,0.0,2201011096.019763,0.0
85,0.0,2201011096.019763,0.0
86,0.0,2201011096.019763,0.0
87,0.0,2201011096.019763,0.0
88,0.0,2201011096.019763,0.0
89,0.0,2201011096.019763,0.0
90,0.0,2201011096.019763,0.0
91,0.0,2201011096.019763,0.0
92,0.0,2201011096.019763,0.0
93,0.0,2201011096.019763,0.0
94,0.0,2201011096.019763,0.0
95,0.0,2201011096.019763,0.0
96,0.0,2201011096.019763,0.0
97,0.0,2201011096.019763,0.0
98,0.0,2201011096.019763,0.0
99,2168097.0818944536,2201011209.3715887,0.0008844496604205255
100,0.0,2201011096.019763,0.0
101,0.0,2201011096.019763,0.0
102,0.0,2201011096.019763,0.0
103,3739083.372487315,2201011245.656827,0.0005190635920083765
104,0.0,2201011096.019763,0.0
105,3159391.174379119,2201011244.0092983,0.0005041368790525821
106,0.0,2201011096.019763,0.0
107,0.0,2201011096.019763,0.0
108,0.0,2201011096.019763,0.0
109,0.0,2201011096.019763,0.0
110,0.0,2201011096.019763,0.0
111,0.0,2201011096.019763,0.0
112,0.0,2201011096.019763,0.0
113,0.0,2201011096.019763,0.0
114,0.0,2201011096.019763,0.0
115,0.0,2201011096.019763,0.0
116,24616252.003241368,2201012222.307847,0.005736245552130432
117,0.0,2201011096.019763,0.0
118,4244220.9441563105,2201011209.104293,0.0008621372252931625
119,0.0,2201011096.019763,0.0
120,0.0,2201011096.019763,0.0
121,0.0,2201011096.019763,0.0
122,0.0,2201011096.019763,0.0
123,0.0,2201011096.019763,0.0
124,4572320.705935709,2201011244.260392,0.0005064118065584411
125,24284953.57196276,2201012523.186953,0.0046152815746633696
126,0.0,2201011096.019763,0.0
127,4600047.969024642,2201011244.9023724,0.0005122281889796673
128,5578642.077443022,2201011420.005642,0.001101413443633451
129,0.0,2201011096.019763,0.0
130,0.0,2201011096.019763,0.0
131,0.0,2201011096.019763,0.0
132,0.0,2201011096.019763,0.0
133,0.0,2201011096.019763,0.0
134,0.0,2201011096.019763,0.0
135,0.0,2201011096.019763,0.0
136,0.0,2201011096.019763,0.0
137,0.0,2201011096.019763,0.0
138,0.0,2201011096.019763,0.0
139,0.0,2201011096.019763,0.0
140,0.0,2201011096.019763,0.0
141,0.0,2201011096.019763,0.0
142,4307040.540533775,2201011209.379215,0.0008850862229829443
143,0.0,2201011096.019763,0.0
144,0.0,2201011096.019763,0.0
145,4288310.779456842,2201011209.2972465,0.0008782439433684434
146,58879341.421595395,2201013509.8740883,0.007586722696131798
147,0.0,2201011096.019763,0.0
148,0.0,2201011096.019763,0.0
149,0.0,2201011096.019763,0.0
150,0.0,2201011096.019763,0.0
151,0.0,2201011096.019763,0.0
