,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model
0,121.0,107.44461877620222,1.0,0.7465710469408539,194.63515037984513,1.0,0.2863312663467371,296.7906343011784,10,0.1455392179738102,233.27521529114324,1.5,0.6718776503497087,58.50706302967286,1.5,0.11651644877020617,4.5,1.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,200,4,dikesnet
1,85.0,74.60627557132653,1.5,0.05312090089664823,171.99270027433738,1.0,0.15462516372224333,257.9846745915113,1.5,0.6822426691180221,192.17229765678826,1.0,0.03275121773285217,240.89136872253,10,0.050598687637169015,2.5,1.5,2.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,201,4,dikesnet
2,115.0,72.4853485423165,1.0,0.6762433393627008,203.35820699627436,1.0,0.7199345490122362,181.06808705150667,10,0.5333103164856164,254.46115328231767,1.5,0.30329588903875704,95.96145735208296,1.5,0.08185280151707275,1.5,4.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,202,4,dikesnet
3,53.0,50.36195445940269,10,0.1989553643903611,189.40801257231624,1.5,0.4536792145213143,93.6258181078351,1.0,0.7032487823220995,113.69675578959239,1.0,0.8856739479663481,38.59114077965298,1.5,0.27265545248183176,4.5,3.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,203,4,dikesnet
4,125.0,288.77674703716866,1.0,0.6285247357794458,149.13828195641653,1.0,0.2183349623707489,38.57446825726697,1.0,0.22213832043744097,183.72380999561014,1.5,0.18388722811743874,282.74210270763876,1.0,0.59864244838003,1.5,2.5,2.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,204,4,dikesnet
5,111.0,120.2842960749764,1.0,0.7408110285421622,221.84919919974112,10,0.48114467790274307,49.99579686671222,1.0,0.823055531938164,73.53781928370086,10,0.5637820454258777,124.27624846613494,10,0.9554498242585157,2.5,3.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,205,4,dikesnet
6,38.0,138.7391259239929,10,0.6247068900818238,85.18068983549384,1.0,0.9785158963179055,304.4611020792314,10,0.903596947281053,254.72667151111523,1.0,0.7123598111475036,54.39469743623501,1.0,0.8584511493357365,4.5,3.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,206,4,dikesnet
7,96.0,44.527293115803595,1.5,0.4232565228806948,60.36104165059399,1.0,0.44675555328036853,226.72067723982235,10,0.1311481205172168,136.96555623378606,10,0.36116470731985384,122.0691975489811,10,0.7317613788915617,1.5,4.5,4.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,207,4,dikesnet
8,104.0,340.4987474719978,10,0.6999329878179302,119.664660055806,10,0.727076686357452,231.28195977737462,10,0.5150859646566729,282.2313368225941,10,0.714483959209718,319.0108759599892,1.0,0.9431092007073206,2.5,2.5,2.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,208,4,dikesnet
9,122.0,349.4698404819299,1.5,0.14255780737091472,178.80337643217257,10,0.7422747221306066,70.76949420066924,10,0.4257899067821993,318.1377495561981,1.5,0.08278983527136519,180.0753360056727,1.0,0.3310418064703373,2.5,1.5,4.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,209,4,dikesnet
